otherInfo,count,words
готовый,134,"ГОТОВ, готовая, готовый, Готов, готовых, готова, Готова, готов"
уверенный,89,"уверенный, уверена, уверенного, Уверенны, уверен, Уверенное, Уверенный, уверенным, Уверен"
профессиональный,69,"профессионального, профессиональную, Профессиональная, ПРОФЕССИОНАЛЬНОЙ, профессиональная, Профессиональные, профессиональным, профессиональный, профессиональном, Профессиональное, профессиональных, профессиональные, профессиональному, профессиональной"
водительский,59,"водительское, Водительских, Водительские, Водительское, водительских, водительского, Водительский, водительские, водительский"
активный,50,"активную, активное, активными, активный, Активное, активных, активного, Активный, активная, Активные, активной, Активная"
опытный,49,"опытным, опытный, опытного, Опытный"
хороший,47,"Хорошая, хорошие, наилучшее, Хороший, хорошая, хорошими, хорошее, Хороша, лучших, Хорошее, лучший, хорошим, хорошем, лучшую, хороший, хорошей, Лучший, лучшему, хорошую"
английский,42,"английским, Английский, английскому, английский, АНГЛИЙСКИЙ, английского, английском"
практический,37,"практической, Практические, практического, практический, практическом, практическими, практическое, практическая, практическим, практические, практическую, практических"
здоровый,36,"здоровый, Здоров, здорового, Здоровый, здоров, здоровым"
свободный,34,"свободное, Свободное, свободной"
педагогический,27,"Педагогический, педагогического, Педагогическую, Педагогическое, педагогический, ПЕДАГОГИЧЕСКУЮ, Педагогическая, педагогических, педагогическое, педагогическая, педагогической, педагогическом"
технический,26,"техническую, технический, Технический, технического, техническому, технических, технические, техническая, технической"
компьютерный,26,"Компьютерное, Компьютерные, Компьютерная, компьютерной, компьютерные, компьютерными, компьютерная, компьютерный, компьютерных"
творческий,25,"творческими, творческий, Творческая, творческую, творческих, творческого, творческому, творческие, творческой"
ответственный,25,"Ответственна, ответственная, ответственную, Ответственный, Ответственная, ответственен, ответственный, ответственна, ответственной"
деловой,19,"деловыми, Деловая, деловых, Деловой, Деловое, делового, деловой, деловые, деловая"
аналитический,18,"Аналитические, аналитических, Аналитический, Аналитическое, аналитический, аналитическую, аналитического, аналитической"
юридический,18,"юридическая, юридического, юридическое, юридических, юридической, юридический"
строительный,17,"строительные, строительными, строительных, строительно, строительной, строительного, строительный, строительным"
трудолюбивый,17,"ТРудолюбив, Трудолюбивый, трудолюбива, Трудолюбивая, трудолюбив, ТРУДОЛЮБИВЫЙ, Трудолюбива, трудолюбивый, Трудолюбив"
карьерный,17,"карьерным, карьерные, карьерного, карьерный, Карьерный, карьерном, карьерному"
спортивный,17,"спортивному, спортивен, спортивные, спортивная, спортивных, спортивное, спортивного, Спортивно, спортивный"
молодой,17,"Молодой, молодых, Молода, Молодые, Молодая"
финансовый,17,"финансовый, Финансовая, финансовыми, Финансовое, финансовом, финансово, финансовой, финансовая"
жизненный,16,"жизненный, жизненные, жизненной, жизненная, жизненную"
экономический,15,"экономическое, экономической, экономический, экономического, Экономическая, ЭКОНОМИЧЕСКОЙ"
художественный,15,"художественного, художественной, Художественна, художественную, Художественную, художественные, художественными, художественных"
правовой,15,"правовой, Правовое, правовое, правовая, правового, правовыми, правовые, правовых"
коммуникабельный,15,"Коммуникабельна, коммуникабельной, коммуникабельный, коммуникабельная, Коммуникабелен, Коммуникабельная, коммуникабелен, коммуникабельна"
иностранный,15,"иностранных, иностранные, иностранного, Иностранный"
графический,15,"графический, графическими, графических, графического, Графические, графическим, графические"
психологический,15,"психологических, психологическом, психологическим, психологической, психологическую, психологическими, Психологическая, психологическое, психологическая, психологического"
продвинутый,14,"Продвинутое, Продвинутый, продвинутый, продвинутого, продвинутое"
постоянный,14,"постоянные, постоянной, постоянный, Постоянный, постоянного, постоянную, постоянному, постоянным"
русский,14,"Русский, русский, русском, русская, русских, русскому, русской, русского"
медицинский,13,"медицинских, Медицинское, медицинского, медицинская, медицинский, медицинской, Медицинская"
способный,13,"Способна, способен, способна, Способен"
военный,13,"военной, военный, военную, Военный, военного, Военном"
быстрый,12,"быстрое, быстрая, Быстрая, быстрому"
семейный,12,"семейное, семейным, Семейное, семейный, семейные, семейных"
бухгалтерский,12,"бухгалтерского, Бухгалтерский, бухгалтерский, бухгалтерской, бухгалтерских"
физический,11,"физические, Физическая, физической, физических, физическая, физического, физическую, физический"
женатый,11,"Женат, женат"
успешный,11,"Успешный, успешный, успешной, успешных, Успешное, успешная, успешного, Успешная"
грамотный,11,"грамотная, грамотного, грамотную, Грамотная, Грамотное"
исполнительный,11,"исполнительная, исполнителен, исполнительной, Исполнителен, исполнительна, исполнительном, Исполнительная"
организаторский,11,"Организаторские, организаторские"
современный,10,"современном, Современные, современную, современных, современный, современное, современной, современным"
отзывчивый,10,"отзывчивая, Отзывчивая, отзывчивый, Отзывчивый"
программный,10,"программное, программных, программного, программным, программно"
конфликтный,10,"конфликтный, конфликтна, конфликтные, конфликтных, конфликтная"
транспортный,10,"транспортное, транспортной, транспортному, транспортным, транспортная, транспортными, транспортных"
пунктуальный,10,"Пунктуальная, пунктуальная, пунктуальна, Пунктуален, пунктуальной, пунктуален, пунктуальный"
