qualification,count,words
экономист,1416,"Экономист, экономист, ЭКОНОМИСТ"
инженер,1267,"инженерии, ИНЖЕНЕР, Инженер, инженера, инженер"
техник,1009,"техники, Техники, техник, ТЕХНИК, Техника, Техник, ТЕХНИКИ, техника"
менеджер,905,"Менеджер, менеджера, менеджер, МЕНЕДЖЕР"
юрист,722,"Юрист, юрист, ЮРИСТ, юриста"
учител,492,"учитель, УЧИТЕЛЬ, Учитель, Учительь"
бухгалтер,450,"Бухгалтер, бухгалтер, Бухгалтерия, БУХГАЛТЕР"
повар,277,"ПОВАР, Повар, повар"
психолог,262,"Психолог, Психология, ПСИХОЛОГИИ, ПСИХОЛОГ, психология, психологии, психолог, Психологии"
преподавател,244,"преподаватель, Преподаватель, преподавателя, ПРЕПОДАВАТЕЛЬ"
механик,226,"МЕХАНИК, механик, механика, Механик"
слесар,207,"Слесарь, слесаря, СЛЕСАРЬ, слесарь"
машинист,176,"МАШИНИСТ, Машинист, машиниста, машинист"
кондитер,162,"кондитер, КОНДИТЕР, Кондитер"
педагог,132,"педагог, Педагог, ПЕДАГОГ"
продавец,128,"Продавец, ПРОДАВЕЦ, продавец"
оператор,118,"оператор, Оператора, ОПЕРАТОР, Оператор"
строител,112,"строитель, СТРОИТЕЛЬ, строительь, Строитель"
экономик,108,"Экономика, экономике, Экономики, экономики, Экономико, экономика, ЭКОНОМИКА"
кассир,105,"кассир, КАССИР, Кассир"
тракторист,103,"тракторист, Тракториста, Тракторист, ТРАКТОРИСТ"
информатик,96,"Информатик, Информатика, информатики, ИНФОРМАТИКИ, информатик, ИНФОРМАТИК, информатика"
врач,87,"врач, Врач, ВРАЧ"
воспитател,83,"воспитатель, ВОСПИТАТЕЛЬ, Воспитатель"
математик,80,"Математика, математика, МАТЕМАТИКИ, математик, Математик, математики"
товаровед,80,"товаровед, Товаровед, ТОВАРОВЕД"
контролер,71,"Контролёр, Контролер, контролер, контролёр, КОНТРОЛЕР"
электрогазосварщик,68,"Электрогазосварщик, электрогазосварщик, ЭЛЕКТРОГАЗОСВАРЩИК"
парикмахер,67,"ПАРИКМАХЕР, парикмахер, Парикмахер, ПАрикмахер"
электромонтер,63,"электромонтер, Электромонтер, Электромонтёром, электромонтёр, Электромонтёр"
водител,61,"водителей, водителя, водитель, ВОДИТЕЛЬ, Водитель"
электрик,60,"Электрик, электрик"
истор,55,"ИСТОРИИ, История, истории, история"
программист,55,"ПРОГРАММИСТ, Программист, программист"
