salary,educationType,jobTitle,qualification,gender,dateModify,skills,otherInfo
60000,Высшее,,,Мужской,2021-04-01,"ответствен, аналитическ",
85000,Высшее,менеджер,,Мужской,2021-04-01,,
15000,Среднее профессиональное,,,Женский,2021-06-01,,
30000,,,,Женский,2021-04-03,,
45000,,,,Мужской,2021-06-28,,
20000,Высшее,кассир,менеджер,,2021-04-01,"дисциплинирова, техническ, ответствен, стрессоустойчив, пунктуальн",
45000,Среднее,,повар,Женский,2021-10-20,,
28000,,,,Женский,2021-07-12,,профессиональный
40000,Высшее,,психолог,Женский,2021-10-05,,
20000,Среднее профессиональное,,,Мужской,2021-11-05,,
100000,Высшее,,,Мужской,2021-04-01,коммуникабельн,
25000,,,,Женский,2021-04-01,,
25000,Среднее,,,Мужской,2021-04-01,,
20000,Среднее профессиональное,,фельдшер,Женский,2021-04-01,ответствен,
50000,,,,Мужской,2021-05-24,,
35000,Среднее профессиональное,кассир,,Женский,2021-06-17,,
100000,Высшее,директор,экономист,Мужской,2021-04-01,,
35000,Среднее профессиональное,,техник,Мужской,2021-04-01,,
20000,,,,Женский,2021-11-30,,
40000,Высшее,бухгалтер,экономист,Женский,2021-07-02,,
25000,,,,Мужской,2021-10-20,,
30000,Высшее,,,Женский,2021-09-04,"пунктуальн, аккуратн",
25000,Высшее,,экономик,Женский,2021-09-29,делов,
30000,Среднее профессиональное,,,Мужской,2021-04-01,,
100000,Среднее,машинист,,Мужской,2021-04-01,"пунктуальн, коммуникабельн",
20000,,,,Мужской,2021-04-01,,
20000,Среднее,,,Женский,2021-04-01,,
70000,Среднее профессиональное,механик,техник,Мужской,2021-04-01,,
50000,Высшее,монтажник,,Мужской,2021-04-01,программн,
11200,Среднее профессиональное,,,Мужской,2021-04-01,,
40000,Среднее профессиональное,кассир,оператор,Женский,2021-05-18,"готов, ответствен",
25000,Высшее,менеджер,,Женский,2021-10-01,"делов, способн, грамотн, оперативн, целеустремлен, коммуникабельн",
40000,,,,Женский,2021-04-01,,
30000,,,,Женский,2021-04-01,,
20000,Среднее,повар,,Женский,2021-05-14,,
35000,Среднее профессиональное,,,Женский,2021-11-12,,
55000,Высшее,,инженер,Мужской,2021-08-10,,
25000,Среднее профессиональное,продавец,,Женский,2021-05-18,,
50000,Высшее,инспектор,,Женский,2021-08-31,,
60000,Среднее профессиональное,,,Мужской,2021-04-01,качествен,
35000,Высшее,библиотекар,библиотекар,Женский,2021-04-01,,
10000,Среднее профессиональное,продавец,,,2021-04-01,аккуратн,
25000,Среднее профессиональное,,повар,Женский,2021-04-01,,
20000,Среднее профессиональное,маркетолог,,Мужской,2021-09-28,,
40000,Среднее профессиональное,,бухгалтер,Женский,2021-09-15,,
18000,Незаконченное высшее,техник,инженер,Женский,2021-08-16,,
20000,Высшее,менеджер,,Мужской,2021-04-01,,
40000,Высшее,,радиоинженер,Мужской,2021-04-06,"делов, конфликтн",
40000,Высшее,учител,учител,Женский,2021-04-01,,
10000,Среднее профессиональное,токар,бухгалтер,Женский,2021-04-01,,
20000,,,,Мужской,2021-08-04,,
15000,Среднее,,,Мужской,2021-04-01,,
20000,Высшее,,,Женский,2021-05-14,,
5000,,,,Женский,2021-04-01,,
30000,Среднее профессиональное,директор,,Мужской,2021-09-10,,
35000,Среднее профессиональное,,,Женский,2021-04-01,,
30000,Высшее,,,Мужской,2021-10-28,,
45000,Высшее,,инженер,Мужской,2021-04-01,,
50000,Высшее,,инженер,Мужской,2021-04-01,,
15000,Среднее профессиональное,повар,оператор,Женский,2021-09-28,коммуникабельн,
20000,,,,Мужской,2021-05-04,,
25000,Среднее,,,Женский,2021-05-16,,
25000,Среднее профессиональное,оператор,,Женский,2021-08-18,,
30000,Среднее профессиональное,,,Женский,2021-08-26,,
60000,Среднее профессиональное,плотник,,Мужской,2021-04-01,,
35000,Среднее профессиональное,,электрогазосварщик,Мужской,2021-04-01,,
35000,Высшее,,менеджер,Женский,2021-10-24,,
25000,Среднее профессиональное,,юрист,Женский,2021-04-20,"исполнительн, ответствен",
20000,Среднее профессиональное,продавец,повар,Женский,2021-04-29,,
